relative_path,status,docs_exists,backup_exists,docs_size,backup_size,issue_description
Sensor\Grove\Grove_Sensors\AI-powered\Grove-vision-ai-v2\Grove-vision-ai-v2.md,仅存在于backup,False,True,文件不存在,12027,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\AI-powered\Grove-vision-ai-v2\Grove_vision_ai_v2_RS485.md,仅存在于backup,False,True,文件不存在,13730,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\AI-powered\Grove-vision-ai-v2\grove_vision_ai_v2_sscma.md,仅存在于backup,False,True,文件不存在,40439,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\AI-powered\Train-Deploy-AI-Model-Grove-Vision-AI.md,仅存在于backup,False,True,文件不存在,31509,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\Accelerometer\Grove-IMU_9DOF-lcm20600+AK09918.md,仅存在于backup,False,True,文件不存在,23381,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\Biometric\Grove-Fingerprint_Sensor.md,仅存在于backup,False,True,文件不存在,9196,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\Biometric\Grove-Human_Presence_Sensor-AK9753.md,仅存在于backup,False,True,文件不存在,16296,docs文件夹中缺少此文件
google688724544eeae2f8.html,仅存在于backup,False,True,文件不存在,53,docs文件夹中缺少此文件
ja\Edge\NVIDIA_Jetson\reComputer_Jetson_Series\reComputer_Industrial\ja_reComputer_Industrial_Getting_Started.md,需要注意,True,True,0,40220,docs中是空文档，但backup中有内容
ja\Edge\NVIDIA_Jetson\reComputer_Jetson_Series\reComputer_J10\reComputer_J1010\ja_J1010_Boot_From_SD_Card.md,需要注意,True,True,0,6273,docs中是空文档，但backup中有内容
ja\Network\Meshtastic_Network\wio_tracker_kit\ja_meshtastic_kit_wio_tracker_1110.md,仅存在于backup,False,True,文件不存在,14874,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_Metal_Frame.md,仅存在于backup,False,True,文件不存在,3582,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_NFC_v2.md,仅存在于backup,False,True,文件不存在,5864,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_Q_Touch_Sensor.md,仅存在于backup,False,True,文件不存在,4810,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_Storage.md,仅存在于backup,False,True,文件不存在,8446,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_Tutorial_Shaking_Shaking.md,仅存在于backup,False,True,文件不存在,3173,docs文件夹中缺少此文件
ja\Seeed_Elderly\Xadow\ja_Xadow_Vibrator_Motor.md,仅存在于backup,False,True,文件不存在,4409,docs文件夹中缺少此文件
ja\Sensor\Arch\ja_Arch_GPRS.md,仅存在于backup,False,True,文件不存在,13900,docs文件夹中缺少此文件
ja\Sensor\Arch\ja_Grove-Starter_Kit_for_mbed.md,仅存在于backup,False,True,文件不存在,8213,docs文件夹中缺少此文件
ja\Sensor\Azure Sphere MT3620\ja_Azure_Sphere_MT3620_Development_Kit.md,仅存在于backup,False,True,文件不存在,29769,docs文件夹中缺少此文件
ja\Sensor\Azure Sphere MT3620\ja_MT3620_Grove_Breakout.md,仅存在于backup,False,True,文件不存在,21132,docs文件夹中缺少此文件
ja\Sensor\Beyond_Grove\Accessories\Case\ja_Bracket_for_Infrared_Proximity_Sensor.md,仅存在于backup,False,True,文件不存在,3468,docs文件夹中缺少此文件
ja\Sensor\Beyond_Grove\Accessories\Charge\ja_0.5w_Solar_Panel_55x70.md,仅存在于backup,False,True,文件不存在,3225,docs文件夹中缺少此文件
ja\Sensor\Beyond_Grove\Accessories\Tools\ja_DSO_Nano-Development.md,仅存在于backup,False,True,文件不存在,2746,docs文件夹中缺少此文件
ja\Sensor\Grove\Grove_Accessories\Actuator\ja_Grove-Voltage_Divider.md,仅存在于backup,False,True,文件不存在,8583,docs文件夹中缺少此文件
ja\Sensor\Grove\Grove_Accessories\LED\ja_Grove-LED_Bar.md,仅存在于backup,False,True,文件不存在,22728,docs文件夹中缺少此文件
ja\Sensor\Wio_Terminal\ArduPy\ja_ArduPy.md,仅存在于backup,False,True,文件不存在,20814,docs文件夹中缺少此文件
ja\Top_Brand\Arduino\Kit with Courses\ja_Grove_Starter_kit_for_Arduino_101.md,仅存在于backup,False,True,文件不存在,8817,docs文件夹中缺少此文件
ja\Top_Brand\Arduino\Kit with Courses\ja_Intel_Edison_and_Grove_IoT_Starter_Kit_Powered_by_AWS.md,仅存在于backup,False,True,文件不存在,24047,docs文件夹中缺少此文件
ja\Top_Brand\Arduino\Tutorials\Arduino_Basic_Usage\ja_A_Comparison_of_Different_Grove_Temperature_Sensors.md,仅存在于backup,False,True,文件不存在,10615,docs文件夹中缺少此文件
ja\Top_Brand\Arduino\shield\ja_Small_e-Paper_Shield.md,仅存在于backup,False,True,文件不存在,17151,docs文件夹中缺少此文件
ja\Top_Brand\Arduino\shield\ja_Wifi_Shield_V1.2.md,仅存在于backup,False,True,文件不存在,63010,docs文件夹中缺少此文件
wiki_update.json,仅存在于backup,False,True,文件不存在,2469,docs文件夹中缺少此文件
zh-CN\Edge\NVIDIA_Jetson\reComputer_Jetson_Series\reComputer_Super\cn_reComputer_Super_Getting_Started.md,仅存在于backup,False,True,文件不存在,9159,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_A1101\cn_Train-Deploy-AI-Model-A1101.md,仅存在于backup,False,True,文件不存在,33007,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_A1101\cn_Train-Water-Meter-Digits-Recognition-Model-with-SenseCAP-A1101.md,仅存在于backup,False,True,文件不存在,18050,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_A1102\cn_Getting_Start_With_A1102.md,仅存在于backup,False,True,文件不存在,9428,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_A1102\cn_TrainAI_With_A1102.md,仅存在于backup,False,True,文件不存在,7260,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S210X_Series\cn_SenseCAP_LoRaWAN_S210X_Series_Sensor.md,仅存在于backup,False,True,文件不存在,3182,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S210X_Series\cn_SenseCAP_S2107.md,仅存在于backup,False,True,文件不存在,5393,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S210X_Series\tutorial\cn_Connect-S210X-Sensor-to-Microsoft-Azure-IoT-Central.md,仅存在于backup,False,True,文件不存在,13450,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S210X_Series\tutorial\cn_How-to-Connect-SenseCAP-S210X-to-Helium-Network.md,仅存在于backup,False,True,文件不存在,6804,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S210X_Series\tutorial\cn_How-to-Connect-SenseCAP-S210X-to-The-Things-Network.md,仅存在于backup,False,True,文件不存在,6413,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S2120_8-in-1_LoRaWAN_Weather_Sensor\cn_SenseCAP_S2120_8-in-1_LoRaWAN_Weather_Sensor_Introduction.md,仅存在于backup,False,True,文件不存在,4504,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_LoRaWAN_Sensor\SenseCAP_S2120_8-in-1_LoRaWAN_Weather_Sensor\cn_Tutorials-Getting_Started_with_SenseCAP_S2120_8-in-1_LoRaWAN_Weather_Sensor.md,仅存在于backup,False,True,文件不存在,24651,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_ONE_Weather_Station\SenseCAP_ONE_Compact_Weather_Station\cn_Introduction.md,仅存在于backup,False,True,文件不存在,4045,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_ONE_Weather_Station\SenseCAP_ONE_Compact_Weather_Station\cn_Tutorials-Getting Started with SenseCAP ONE Compact Weather Sensor.md,仅存在于backup,False,True,文件不存在,22294,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_ONE_Weather_Station\cn_ONE_intro.md,仅存在于backup,False,True,文件不存在,3980,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_ONE_Weather_Station\cn_ORCH-S4-Weather-Station.md,仅存在于backup,False,True,文件不存在,10410,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_ONE_Weather_Station\cn_SenseCAP-One-Series-Meteorological-Sensors.md,仅存在于backup,False,True,文件不存在,12554,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Industrial-ph-Sensor.md,仅存在于backup,False,True,文件不存在,6365,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Liquid-Level-Sensor.md,仅存在于backup,False,True,文件不存在,6614,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Probe_intro.md,仅存在于backup,False,True,文件不存在,4921,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_RS485_500cm_Ultrasonic_Sensor.md,仅存在于backup,False,True,文件不存在,11768,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_RS485_750cm_Ultrasonic_Sensor-1.md,仅存在于backup,False,True,文件不存在,11632,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_RS485_Air_Temperature_Humidity_and_Barometric_Pressure_Sensor(S-THP-01A).md,仅存在于backup,False,True,文件不存在,11552,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_SenseCAP_Sensor_Probes_Product_Catalogue.md,仅存在于backup,False,True,文件不存在,18209,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Soil-Moisture-Temperature-EC-Sensor.md,仅存在于backup,False,True,文件不存在,7178,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Soil-Moisture-Temperature-Sensor.md,仅存在于backup,False,True,文件不存在,6654,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Total_Solar_Radiation_Sensor.md,仅存在于backup,False,True,文件不存在,9859,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Probe\cn_Water-Leak-Detector.md,仅存在于backup,False,True,文件不存在,3691,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_LoRaWAN_Network_Server\cn_AWS_Service.md,仅存在于backup,False,True,文件不存在,12904,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_LoRaWAN_Network_Server\cn_Connect_to_Helium.md,仅存在于backup,False,True,文件不存在,43463,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_LoRaWAN_Network_Server\cn_Connect_to_Loriot.md,仅存在于backup,False,True,文件不存在,5792,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_LoRaWAN_Network_Server\cn_Connect_to_The_Things_Network.md,仅存在于backup,False,True,文件不存在,3894,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_LoRaWAN_Network_Server\cn_TTN_Mapper.md,仅存在于backup,False,True,文件不存在,39484,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Akenza_Integrated.md,仅存在于backup,False,True,文件不存在,9414,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Datacake_Integrated.md,仅存在于backup,False,True,文件不存在,3849,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_InfluxDB_Integrated.md,仅存在于backup,False,True,文件不存在,7919,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Qubitro_Integrated.md,仅存在于backup,False,True,文件不存在,6020,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_TagoIO_Integrated.md,仅存在于backup,False,True,文件不存在,4308,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Trackpac_Integrated.md,仅存在于backup,False,True,文件不存在,4933,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Ubidots_Integrated(Helium).md,仅存在于backup,False,True,文件不存在,7785,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_Ubidots_Integrated.md,仅存在于backup,False,True,文件不存在,6916,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_sensecap_t1000_tracker_wialon.md,仅存在于backup,False,True,文件不存在,3693,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\Integrated_with_Popular_Dashboard\cn_thingsboard_integrated.md,仅存在于backup,False,True,文件不存在,6339,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\User_Guide\cn_E5_Bluetooth_Location_Beacon.md,仅存在于backup,False,True,文件不存在,8390,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\User_Guide\cn_Get_Started.md,仅存在于backup,False,True,文件不存在,24240,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\User_Guide\cn_Indoor_Positioning_Guide.md,仅存在于backup,False,True,文件不存在,13734,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\User_Guide\cn_Payload.md,仅存在于backup,False,True,文件不存在,34288,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\User_Guide\cn_Tracker_WiFi_Geolocation.md,仅存在于backup,False,True,文件不存在,7805,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\cn_FAQ.md,仅存在于backup,False,True,文件不存在,8563,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\cn_Firmware_release_note.md,仅存在于backup,False,True,文件不存在,1229,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\cn_Lambda_code.md,仅存在于backup,False,True,文件不存在,45469,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\cn_SenseCAP_T1000_Tracker_Introduction.md,仅存在于backup,False,True,文件不存在,8290,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_T1000_Tracker\cn_SenseCAP_T1000_intro.md,仅存在于backup,False,True,文件不存在,4078,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Applications\cn_use_case.md,仅存在于backup,False,True,文件不存在,11346,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Applications\development\cn_watcher_train_model.md,仅存在于backup,False,True,文件不存在,7670,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Firmware_architecture_Overview\cn_watcher_architecture.md,仅存在于backup,False,True,文件不存在,33455,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Firmware_architecture_Overview\cn_watcher_function_module_dev_guide.md,仅存在于backup,False,True,文件不存在,25061,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Firmware_architecture_Overview\cn_watcher_idf_installation.md,仅存在于backup,False,True,文件不存在,4307,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Firmware_architecture_Overview\cn_watcher_ui_intergration_guide.md,仅存在于backup,False,True,文件不存在,18867,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red.md,仅存在于backup,False,True,文件不存在,14596,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_ifttt.md,仅存在于backup,False,True,文件不存在,8518,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_kafka.md,仅存在于backup,False,True,文件不存在,10407,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_open_interpreter.md,仅存在于backup,False,True,文件不存在,9345,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_p5js.md,仅存在于backup,False,True,文件不存在,6766,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_telegram.md,仅存在于backup,False,True,文件不存在,8210,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_node_red_to_twilio.md,仅存在于backup,False,True,文件不存在,9090,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_to_discord.md,仅存在于backup,False,True,文件不存在,18157,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_to_mongodb.md,仅存在于backup,False,True,文件不存在,12778,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\node_red_integration\cn_watcher_to_whatsapp.md,仅存在于backup,False,True,文件不存在,10264,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\Http_Proxy_Application\smart_home\cn_integrate_watcher_to_ha.md,仅存在于backup,False,True,文件不存在,14373,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Notifications\cn_watcher_uart_output.md,仅存在于backup,False,True,文件不存在,32477,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Product_Overview\cn_sensecap_watcher_tasks.md,仅存在于backup,False,True,文件不存在,28476,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Product_Overview\cn_watcher_hardware_overview.md,仅存在于backup,False,True,文件不存在,16179,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Product_Overview\cn_watcher_operation_guideline.md,仅存在于backup,False,True,文件不存在,13541,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Software_Framework_Overview\cn_sensecap_app_introduction.md,仅存在于backup,False,True,文件不存在,20047,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Software_Framework_Overview\cn_sensecap_watcher_local_deploy.md,仅存在于backup,False,True,文件不存在,18647,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\Software_Framework_Overview\cn_sensecap_watcher_software_service_framework.md,仅存在于backup,False,True,文件不存在,13460,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\cn_sensecap_watcher_getting_started.md,仅存在于backup,False,True,文件不存在,17702,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\cn_sensecap_watcher_price.md,仅存在于backup,False,True,文件不存在,8253,docs文件夹中缺少此文件
zh-CN\Sensor\SenseCAP\SenseCAP_Watcher\cn_watcher_main_page.md,仅存在于backup,False,True,文件不存在,5690,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Easy_IoT\cn_Connect-Wio-Terminal-to-Google-Cloud-IoT-Core.md,仅存在于backup,False,True,文件不存在,30247,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Easy_IoT\cn_Connect-Wio-Terminal-to-Microsoft-Azure-IoT-Central.md,仅存在于backup,False,True,文件不存在,30040,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Easy_IoT\cn_CyberDeck_Wio-Terminal.md,仅存在于backup,False,True,文件不存在,10476,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Easy_IoT\cn_Get-Started-with-Wio-Terminal-and-Wappsto-IoT.md,仅存在于backup,False,True,文件不存在,20518,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Easy_IoT\cn_Wio-Terminal-Azure-IOT.md,仅存在于backup,False,True,文件不存在,2263,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-1.md,仅存在于backup,False,True,文件不存在,12216,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-2.md,仅存在于backup,False,True,文件不存在,17067,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-3.md,仅存在于backup,False,True,文件不存在,26713,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-4.md,仅存在于backup,False,True,文件不存在,19110,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-5.md,仅存在于backup,False,True,文件不存在,12260,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_Edge_Impulse\cn_Wio-Terminal-TinyML-EI-6.md,仅存在于backup,False,True,文件不存在,13803,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_TensorFlow_Lite\cn_Wio-Terminal-Gesture-Recognition.md,仅存在于backup,False,True,文件不存在,12481,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_TensorFlow_Lite\cn_Wio-Terminal-TinyML-TFLM-1.md,仅存在于backup,False,True,文件不存在,3454,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_TensorFlow_Lite\cn_Wio-Terminal-TinyML-TFLM-2.md,仅存在于backup,False,True,文件不存在,15406,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\Projects_based_TensorFlow_Lite\cn_Wio-Terminal-TinyML-TFLM-3.md,仅存在于backup,False,True,文件不存在,14081,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Application\Embedded_ML\cn_AIoTs_GPS_state_tester.md,仅存在于backup,False,True,文件不存在,11355,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\ArduPy\cn_ArduPy-LCD.md,仅存在于backup,False,True,文件不存在,8143,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\ArduPy\cn_ArduPy-Libraries.md,仅存在于backup,False,True,文件不存在,16296,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\ArduPy\cn_ArduPy.md,仅存在于backup,False,True,文件不存在,16178,docs文件夹中缺少此文件
